num,hand_direction,thump_shape,index_shape,middle_shape,ring_shape,pinky_shape,threshold_distance
0,upward,open,close,close,close,close,15
1,upward,close,close,close,close,open,15
2,upward,close,open,open,close,close,15
3,upward,close,"half-open,half-close","half-open,half-close","half-open,half-close","half-open,half-close",15
4,portrait,undecided,"close,side-open","close,side-open","close,side-open","close,side-open",15
5,upward,undecided,open,side-open,close,close,15
6,upward,open,open,close,close,open,15
7,landscape,open,open,open,open,open,15
8,upward,close,open,open,open,open,15
9,portrait,undecided,"open,side-open","open,side-open","open,side-open","open,side-open",15
10,upward,close,close,close,close,close,15
11,landscape,open,open,open,close,close,15
12,downward,open,open,open,close,close,15
13,upward,close,close,open,close,close,15
14,landscape,undecided,open,close,close,close,15
15,landscape,open,close,close,close,close,15
16,upward,open,undecided,"close,half-close,side-open","close,half-close,side-open",open,15
17,upward,open,undecided,"close,half-close,side-open",open,open,15
18,upward,open,open,open,open,open,15
19,upward,undecided,open,open,close,close,15
20,downward,undecided,open,open,close,close,15
21,landscape,close,open,open,close,close,15
22,upward,undecided,"half-open,half-close",close,close,close,15
23,downward,open,open,open,open,open,15
24,upward,close,open,close,close,close,15
25,landscape,undecided,open,open,open,open,15
27,downward,open,open,close,close,close,15
28,downward,open,close,close,close,open,15
29,upward,close,open,open,open,open,15
30,downward,undecided,open,open,open,close,15
31,landscape,undecided,open,open,open,close,15
32,landscape,open,open,close,close,close,15
33,portrait,open,"side-open,half-close",open,open,open,15
34,upward,undecided,open,close,close,close,15
35,upward,open,close,close,close,open,15
36,upward,undecided,open,open,open,undecided,15
37,landscape,undecided,open,open,open,open,15
38,upward,close,open,open,"close,side-open","close,side-open",15
40,upward,open,open,open,close,"close,side-open",15
41,upward,open,open,close,"close,side-open","close,side-open",15
42,upward,open,"half-open,half-close",half-open,close,close,15
43,upward,close,open,open,open,close,15
324,landscape,close,open,close,close,close,15
334,upward,undecided,open,close,close,close,15
339,upward,close,open,open,close,close,15
